feautre,importance
model,1208
shift_model_adcode_mt_label_12,1174
shift_model_adcode_mt_label_1,1158
regMonth,870
adcode,815
shift_model_adcode_mt_label_11,774
shift_model_adcode_mt_label_2,746
shift_model_adcode_mt_label_10,660
shift_model_adcode_mt_label_3,625
shift_model_adcode_mt_label_4,609
shift_model_adcode_mt_label_5,605
shift_model_adcode_mt_label_6,533
shift_model_adcode_mt_label_9,521
shift_model_adcode_mt_label_7,511
shift_model_adcode_mt_label_8,472
shift_model_adcode_mt_price_1,470
shift_model_adcode_mt_price_2,316
shift_model_adcode_mt_all_province_body_attention_1,303
shift_model_adcode_mt_price_11,261
shift_model_adcode_mt_price_10,242
shift_model_adcode_mt_price_5,239
shift_model_adcode_mt_price_9,229
shift_model_adcode_mt_price_12,229
shift_model_adcode_mt_price_7,224
shift_model_adcode_mt_body_except_1,221
shift_model_adcode_mt_price_8,221
shift_model_adcode_mt_price_6,197
shift_model_adcode_mt_price_3,196
shift_model_adcode_mt_all_province_body_attention_12,184
shift_model_adcode_mt_all_province_body_attention_10,171
shift_model_adcode_mt_all_province_body_attention_11,171
shift_model_adcode_mt_all_province_body_attention_2,166
shift_model_adcode_mt_all_province_body_attention_5,164
shift_model_adcode_mt_body_except_2,164
shift_model_adcode_mt_all_province_body_attention_7,161
shift_model_adcode_mt_all_province_body_attention_9,157
shift_model_adcode_mt_all_province_body_attention_8,156
shift_model_adcode_mt_all_province_body_attention_6,148
shift_model_adcode_mt_body_except_11,148
shift_model_adcode_mt_all_province_body_attention_4,146
shift_model_adcode_mt_price_4,144
shift_model_adcode_mt_body_except_10,126
shift_model_adcode_mt_body_except_5,118
shift_model_adcode_mt_body_except_7,118
shift_model_adcode_mt_all_province_body_attention_3,112
shift_model_adcode_mt_body_except_9,100
shift_model_adcode_mt_body_except_3,100
shift_model_adcode_mt_body_except_8,90
shift_model_adcode_mt_body_except_12,82
shift_model_adcode_mt_body_except_4,73
regYear,55
bodyType,55
shift_model_adcode_mt_body_except_6,52
