feautre,importance
shift_model_adcode_mt_label_1,1505
model,1366
shift_model_adcode_mt_label_12,1348
regMonth,1007
adcode,1000
shift_model_adcode_mt_label_11,979
shift_model_adcode_mt_label_10,946
shift_model_adcode_mt_label_2,926
shift_model_adcode_mt_label_3,893
shift_model_adcode_mt_label_4,837
shift_model_adcode_mt_label_5,797
shift_model_adcode_mt_label_6,763
shift_model_adcode_mt_label_8,737
shift_model_adcode_mt_label_7,709
shift_model_adcode_mt_label_9,644
shift_model_adcode_mt_price_11,343
shift_model_adcode_mt_price_1,343
shift_model_adcode_mt_price_10,324
shift_model_adcode_mt_price_3,305
shift_model_adcode_mt_price_8,292
shift_model_adcode_mt_price_2,292
shift_model_adcode_mt_price_5,289
shift_model_adcode_mt_price_12,288
shift_model_adcode_mt_price_7,286
shift_model_adcode_mt_all_province_body_attention_1,264
shift_model_adcode_mt_all_province_body_attention_12,263
shift_model_adcode_mt_all_province_body_attention_11,256
shift_model_adcode_mt_price_9,248
shift_model_adcode_mt_price_6,243
shift_model_adcode_mt_price_4,241
shift_model_adcode_mt_all_province_body_attention_5,217
shift_model_adcode_mt_all_province_body_attention_8,216
shift_model_adcode_mt_all_province_body_attention_9,210
shift_model_adcode_mt_all_province_body_attention_7,197
shift_model_adcode_mt_all_province_body_attention_10,193
shift_model_adcode_mt_all_province_body_attention_4,185
shift_model_adcode_mt_body_except_5,183
shift_model_adcode_mt_all_province_body_attention_6,179
shift_model_adcode_mt_all_province_body_attention_2,166
shift_model_adcode_mt_body_except_1,162
shift_model_adcode_mt_all_province_body_attention_3,160
shift_model_adcode_mt_body_except_11,145
shift_model_adcode_mt_body_except_10,140
shift_model_adcode_mt_body_except_7,133
shift_model_adcode_mt_body_except_8,132
shift_model_adcode_mt_body_except_2,125
shift_model_adcode_mt_body_except_12,121
shift_model_adcode_mt_body_except_3,117
shift_model_adcode_mt_body_except_9,101
shift_model_adcode_mt_body_except_4,81
shift_model_adcode_mt_body_except_6,77
bodyType,76
regYear,0
