id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,291,273,289
2,374,361,375
3,194,188,207
4,342,355,335
5,464,480,434
6,235,218,232
7,549,544,518
8,258,249,281
9,2585,2412,2471
10,412,406,408
11,808,781,801
12,201,203,215
13,373,359,367
14,422,405,398
15,688,639,709
16,489,468,488
17,373,365,352
18,320,329,333
19,620,595,615
20,127,132,134
21,367,359,354
22,253,241,268
23,320,345,354
24,382,372,394
25,222,228,242
26,308,302,316
27,735,722,759
28,387,420,417
29,1090,1081,1131
30,344,357,372
31,6152,6483,6559
32,938,952,918
33,1635,1673,1676
34,493,531,524
35,782,716,784
36,817,809,864
37,1390,1412,1456
38,822,833,873
39,732,735,751
40,1150,1192,1213
41,1128,1146,1201
42,258,276,277
43,386,419,419
44,576,584,614
45,158,182,174
46,366,340,346
47,273,268,267
48,391,425,417
49,475,553,561
50,199,209,192
51,498,522,495
52,190,193,190
53,1649,1736,1776
54,234,233,238
55,546,573,537
56,195,196,196
57,425,443,428
58,457,472,465
59,504,479,488
60,345,387,358
61,330,356,347
62,162,162,155
63,403,433,409
64,193,217,211
65,332,352,334
66,212,215,214
67,107,107,108
68,225,230,239
69,115,112,113
70,87,93,88
71,433,415,429
72,226,220,218
73,377,345,351
74,129,133,120
75,3213,3161,3005
76,336,340,314
77,817,754,794
78,283,312,308
79,338,309,327
80,541,516,488
81,867,818,875
82,513,482,515
83,550,575,567
84,450,493,456
85,294,262,263
86,135,138,134
87,213,198,202
88,129,132,127
89,155,183,186
90,3262,3264,3256
91,502,524,517
92,67,78,77
93,1407,1531,1536
94,1748,1805,1849
95,3070,3259,3204
96,1536,1611,1536
97,1465,1595,1566
98,1839,1887,1872
99,1591,1593,1679
100,779,839,865
101,3147,3142,3184
102,3726,3834,3820
103,1055,1023,1054
104,1473,1567,1554
105,1580,1696,1674
106,432,468,461
107,943,966,955
108,240,247,254
109,887,930,944
110,470,466,464
111,275,281,282
112,452,460,440
113,463,461,460
114,95,96,101
115,744,779,755
116,944,889,857
117,1100,1121,1192
118,499,506,499
119,3973,3918,3594
120,688,646,665
121,964,895,1021
122,782,741,744
123,1309,1361,1412
124,1457,1556,1460
125,771,750,751
126,1011,1030,919
127,1089,1132,1019
128,318,304,321
129,329,300,316
130,493,519,530
131,489,504,509
132,399,376,384
133,1088,1228,1168
134,157,173,153
135,176,195,177
136,1136,1135,1248
137,477,584,538
138,421,463,434
139,1199,1366,1241
140,323,397,334
141,1082,1116,1103
142,139,159,133
143,1208,1384,1316
144,202,225,199
145,866,1026,969
146,1032,1185,1079
147,906,963,931
148,310,382,324
149,285,329,297
150,270,272,270
151,317,346,321
152,142,156,136
153,439,484,466
154,220,260,237
155,183,198,197
156,67,71,72
157,36,28,33
158,53,56,64
159,259,270,239
160,272,296,265
161,208,227,214
162,41,35,37
163,268,275,247
164,87,92,89
165,602,559,540
166,153,163,157
167,141,136,136
168,218,221,203
169,330,303,315
170,216,225,215
171,176,194,182
172,94,98,100
173,36,35,36
174,61,61,62
175,103,107,111
176,22,19,20
177,748,804,783
178,394,396,403
179,331,339,342
180,438,418,429
181,586,563,600
182,975,992,974
183,1143,1049,1110
184,370,380,377
185,487,500,506
186,370,356,375
187,1383,1354,1432
188,1015,968,987
189,696,667,706
190,1124,1064,1161
191,894,884,975
192,1201,1184,1225
193,1132,1130,1214
194,510,502,525
195,314,285,294
196,358,375,375
197,389,382,382
198,162,157,162
199,474,515,534
200,286,293,282
201,300,294,301
202,102,101,92
203,1248,1246,1332
204,1344,1379,1430
205,2160,2090,2233
206,407,395,423
207,619,630,637
208,561,562,573
209,1900,1867,1837
210,1152,1133,1161
211,1129,996,1074
212,1839,1784,1949
213,1410,1361,1387
214,1036,1003,1069
215,1090,1074,1128
216,642,643,638
217,231,231,251
218,356,381,373
219,506,485,534
220,141,133,124
221,74,85,91
222,213,222,239
223,180,159,177
224,195,242,192
225,1130,1243,1212
226,567,616,590
227,1532,1581,1498
228,336,373,361
229,1114,1067,1088
230,379,387,386
231,889,878,848
232,444,512,476
233,1018,1044,1007
234,1931,2074,1963
235,1136,1169,1185
236,898,906,974
237,614,635,686
238,419,460,466
239,130,126,136
240,275,311,312
241,630,591,642
242,83,78,80
243,60,62,75
244,473,531,499
245,345,379,377
246,80,85,93
247,909,936,918
248,617,663,616
249,1246,1247,1319
250,840,814,867
251,894,897,909
252,506,548,546
253,574,612,615
254,475,595,569
255,1451,1357,1452
256,1537,1551,1561
257,545,564,590
258,614,667,652
259,718,775,759
260,314,346,356
261,294,300,300
262,362,398,346
263,922,913,901
264,225,206,220
265,76,85,92
266,666,868,758
267,465,549,512
268,69,63,72
269,1395,1560,1613
270,907,1190,983
271,1704,1846,1876
272,647,763,667
273,862,927,926
274,516,589,572
275,940,1146,1059
276,637,756,697
277,1557,1694,1753
278,1761,1947,1914
279,642,772,757
280,864,1047,933
281,697,912,809
282,294,352,389
283,240,255,291
284,343,382,386
285,638,822,703
286,441,497,480
287,265,280,297
288,984,1016,1035
289,767,808,822
290,181,163,190
291,2051,2097,2109
