id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,339,327,359
2,378,367,400
3,175,173,192
4,351,368,357
5,416,418,418
6,245,237,253
7,550,562,560
8,264,254,281
9,2023,1809,1931
10,419,391,433
11,810,779,792
12,221,223,224
13,365,361,382
14,412,413,418
15,658,611,680
16,515,477,525
17,367,371,365
18,343,343,374
19,539,502,551
20,164,164,163
21,368,350,358
22,235,245,262
23,320,319,323
24,327,281,320
25,192,190,202
26,264,290,248
27,666,606,676
28,375,348,370
29,1057,942,1035
30,290,253,290
31,4573,3726,4564
32,733,615,687
33,1569,1343,1494
34,432,386,418
35,743,610,694
36,781,658,780
37,1346,1157,1246
38,736,700,700
39,681,587,643
40,1061,957,990
41,767,688,758
42,232,237,249
43,332,338,333
44,404,342,410
45,226,220,214
46,390,380,390
47,285,284,298
48,445,492,443
49,430,480,465
50,213,223,215
51,517,554,512
52,221,208,206
53,1483,1571,1451
54,243,253,252
55,545,574,535
56,216,226,220
57,430,458,444
58,458,520,483
59,480,502,468
60,380,429,380
61,326,369,340
62,195,188,193
63,498,484,468
64,236,250,246
65,340,372,363
66,227,224,239
67,174,183,187
68,281,298,285
69,149,147,151
70,121,118,121
71,474,463,470
72,307,305,294
73,501,457,472
74,174,179,164
75,2759,2572,2574
76,388,384,380
77,968,908,924
78,341,360,358
79,412,398,403
80,663,633,621
81,1075,1011,992
82,578,573,561
83,572,578,581
84,591,574,582
85,382,326,338
86,186,190,181
87,273,248,254
88,178,175,165
89,162,191,186
90,1990,2089,2181
91,420,429,445
92,74,88,74
93,1051,1056,1181
94,1334,1411,1510
95,1864,1922,2056
96,1064,1092,1125
97,951,941,1105
98,1145,1151,1232
99,1220,1161,1333
100,676,657,734
101,2027,1834,2057
102,2236,2173,2530
103,791,793,841
104,1103,1149,1163
105,1054,1151,1250
106,367,374,396
107,710,665,742
108,244,244,257
109,1044,1146,1133
110,406,382,430
111,284,306,300
112,454,399,443
113,491,399,491
114,86,100,90
115,790,668,778
116,884,795,920
117,1305,1027,1368
118,478,385,500
119,3061,2804,3053
120,656,509,647
121,1232,1045,1169
122,734,649,746
123,1510,1087,1521
124,1874,1372,2017
125,712,723,724
126,1009,994,1046
127,1049,967,1124
128,314,272,337
129,282,256,291
130,493,499,504
131,472,429,496
132,375,295,365
133,1141,1239,1211
134,231,245,225
135,199,206,201
136,817,884,976
137,451,506,467
138,540,624,548
139,1146,1203,1189
140,397,487,424
141,985,1001,975
142,181,187,179
143,1152,1202,1184
144,284,287,281
145,934,984,1013
146,993,1001,978
147,962,876,937
148,405,461,417
149,309,324,314
150,329,345,339
151,416,466,415
152,193,184,185
153,488,507,513
154,275,333,281
155,176,203,192
156,61,98,65
157,31,46,32
158,48,67,57
159,223,332,222
160,241,372,245
161,181,303,207
162,36,53,35
163,216,314,211
164,79,129,85
