id,ad_ry_mean,md_ry_mean,bt_ry_mean
1,13,12,13
2,15,16,15
3,8,8,8
4,15,15,15
5,17,18,18
6,8,9,8
7,20,21,20
8,11,11,10
9,67,68,67
10,16,18,17
11,29,31,29
12,8,9,8
13,15,16,15
14,16,16,16
15,27,27,26
16,17,20,19
17,14,15,14
18,14,15,13
19,28,27,25
20,6,5,5
21,15,16,15
22,11,11,10
23,18,17,17
24,17,18,18
25,12,12,12
26,17,15,15
27,22,22,21
28,19,21,20
29,49,52,50
30,17,18,18
31,173,193,172
32,42,41,42
33,73,74,76
34,25,24,25
35,37,37,36
36,38,38,37
37,66,65,67
38,37,36,36
39,32,33,34
40,50,51,53
41,57,57,59
42,13,13,13
43,20,21,20
44,29,28,27
45,8,7,7
46,14,16,14
47,12,11,11
48,17,18,16
49,20,20,20
50,8,8,7
51,20,20,18
52,8,7,7
53,67,67,64
54,10,10,10
55,21,21,20
56,8,8,8
57,17,17,15
58,18,18,16
59,19,20,18
60,14,14,13
61,13,14,13
62,8,7,7
63,19,19,18
64,10,9,9
65,14,15,13
66,10,9,9
67,4,5,4
68,9,11,10
69,5,5,5
70,5,5,5
71,18,20,18
72,8,9,9
73,14,16,14
74,5,6,5
75,112,136,114
76,14,17,15
77,32,40,34
78,12,14,13
79,14,15,14
80,18,22,20
81,33,42,35
82,18,20,20
83,20,23,23
84,18,24,21
85,11,13,12
86,6,6,6
87,9,10,10
88,5,6,5
89,7,8,8
90,97,94,95
91,20,20,20
92,4,3,4
93,47,47,45
94,67,66,71
95,88,103,98
96,63,60,64
97,51,50,44
98,36,37,36
99,61,61,60
100,31,30,33
101,100,104,95
102,101,117,110
103,41,41,40
104,33,31,34
105,59,65,65
106,17,18,19
107,41,43,41
108,10,11,11
109,34,31,32
110,19,20,20
111,11,12,12
112,19,20,19
113,21,20,20
114,4,4,4
115,33,34,33
116,40,39,40
117,43,48,47
118,21,21,19
119,131,135,130
120,28,29,27
121,42,44,43
122,31,31,30
123,57,57,55
124,54,56,58
125,32,30,30
126,39,42,40
127,44,48,46
128,12,12,12
129,13,14,13
130,22,22,21
131,21,21,20
132,17,18,16
133,45,46,44
134,7,8,7
135,8,9,7
136,50,46,49
137,20,23,20
138,18,19,17
139,49,54,45
140,16,19,14
141,46,51,44
142,6,7,6
143,49,54,47
144,10,10,9
145,37,43,35
146,39,44,36
147,43,48,42
148,14,15,13
149,12,14,11
150,13,13,11
151,15,17,14
152,7,7,6
153,21,25,18
154,11,14,11
155,9,9,9
156,3,3,3
157,2,1,1
158,2,2,3
159,10,11,10
160,9,10,11
161,8,8,9
162,2,2,2
163,10,9,10
164,4,4,4
165,18,17,18
166,7,6,8
167,6,6,6
168,8,8,9
169,12,11,12
170,8,8,9
171,7,7,8
172,5,4,5
173,2,1,2
174,3,3,3
175,5,4,5
176,1,1,1
177,34,34,37
178,16,16,16
179,15,14,15
180,17,15,17
181,22,24,25
182,36,36,39
183,21,22,22
184,17,16,17
185,19,19,20
186,14,15,16
